job_title,Skills_Text,Skills_Text_Display,Cluster,Role
"Machine Learning Engineer, Applied ML","c, kubernetes, machine learning, python, pytorch, r, scala, spark, sql, tensorflow","c, kubernetes, machine learning, python, pytorch, r, scala, spark, sql, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
"Software Engineer, Machine Learning","c, figma, large language models, machine learning, mysql, node.js, r, spark, sql, typescript","c, figma, large language models, machine learning, mysql, node.js, r, spark, sql, typescript",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Engineer,"agentic frameworks, aws, c, data science, git, java, machine learning, ml-ops, python, pytorch, r, scala, spark, sql, statistical modeling, tensorflow","agentic frameworks, aws, c, data science, git, java, machine learning, ml-ops, python, pytorch, r, s...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"agentic frameworks, aws, c, data science, git, java, machine learning, ml-ops, python, pytorch, r, scala, spark, sql, statistical modeling, tensorflow","agentic frameworks, aws, c, data science, git, java, machine learning, ml-ops, python, pytorch, r, s...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
"Senior Machine Learning Engineer, NLP","c, computer vision, deep learning, git, machine learning, nlp, python, pytorch, r, tensorflow","c, computer vision, deep learning, git, machine learning, nlp, python, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
"Software Engineer, Machine Learning","c, figma, large language models, machine learning, mysql, node.js, r, spark, sql, typescript","c, figma, large language models, machine learning, mysql, node.js, r, spark, sql, typescript",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Engineer,"c, c++, java, machine learning, neural networks, python, r, scala, software engineering, transformers","c, c++, java, machine learning, neural networks, python, r, scala, software engineering, transformer...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
"Software Engineer L4, Machine Learning Platform (Metaflow)","aws, c, c++, deep learning, hadoop, java, machine learning, python, pytorch, r, scala, software engineering, spark, tensorflow","aws, c, c++, deep learning, hadoop, java, machine learning, python, pytorch, r, scala, software engi...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
"Machine Learning Engineer Intern, Summer 2025","c, computer vision, data science, machine learning, python, r, software engineering","c, computer vision, data science, machine learning, python, r, software engineering",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Engineer - Early in Career,"c, data science, git, large language models, machine learning, python, pytorch, r, software engineering, tensorflow","c, data science, git, large language models, machine learning, python, pytorch, r, software engineer...",4,"Cluster 4 (large language models, scala, c, aws, r)"
"Senior Data Scientist, Data Science","azure, c, databricks, git, machine learning, python, r, sql","azure, c, databricks, git, machine learning, python, r, sql",1,"Cluster 1 (c, r, data science, machine learning, scala)"
"Senior Data Scientist, Data Science","azure, c, databricks, git, machine learning, python, r, sql","azure, c, databricks, git, machine learning, python, r, sql",1,"Cluster 1 (c, r, data science, machine learning, scala)"
"Senior Data Scientist, Data Science","azure, c, databricks, git, machine learning, python, r, sql","azure, c, databricks, git, machine learning, python, r, sql",1,"Cluster 1 (c, r, data science, machine learning, scala)"
2025 Intern CV/ML - Machine Learning Engineer,"c, c++, computer vision, data analytics, deep learning, git, java, machine learning, matlab, python, r, scala, scikit learn, statistical modeling","c, c++, computer vision, data analytics, deep learning, git, java, machine learning, matlab, python,...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Data Scientist - All Levels,"aws, azure, c, data analytics, data science, databases, deep learning, hadoop, java, linux, machine learning, mongodb, python, pytorch, r, rest api, spark, sql, tableau, tensorflow","aws, azure, c, data analytics, data science, databases, deep learning, hadoop, java, linux, machine ...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"c, c++, git, java, machine learning, python, pytorch, r, tensorflow","c, c++, git, java, machine learning, python, pytorch, r, tensorflow",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
ML Engineer/Data Scientist,"c, data science, machine learning, r","c, data science, machine learning, r",1,"Cluster 1 (c, r, data science, machine learning, scala)"
2025 Intern - Machine Learning Engineer AI/ML,"c, data analytics, deep learning, git, java, machine learning, matlab, python, r, scala, scikit learn, statistical modeling","c, data analytics, deep learning, git, java, machine learning, matlab, python, r, scala, scikit lear...",1,"Cluster 1 (c, r, data science, machine learning, scala)"
ML Software Engineer (L4/L5) - Media Algorithms,"aws, c, c++, deep learning, docker, java, machine learning, python, pytorch, r, scala, software engineering, tensorflow","aws, c, c++, deep learning, docker, java, machine learning, python, pytorch, r, scala, software engi...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
(General Hire) Machine Learning Engineer Graduate (TikTok Recommendation) - 2025 Start (Master),"aws, c, c++, machine learning, nlp, python, pytorch, r, tensorflow","aws, c, c++, machine learning, nlp, python, pytorch, r, tensorflow",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Data Engineer/ Analytics Engineer,"c, power bi, r, scala, sql, tableau","c, power bi, r, scala, sql, tableau",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Engineer,"aws, c, deep learning, java, machine learning, python, r, scala","aws, c, deep learning, java, machine learning, python, r, scala",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
Machine Learning Engineer,"aws, c, databricks, deep learning, java, machine learning, python, r, spark, sql","aws, c, databricks, deep learning, java, machine learning, python, r, spark, sql",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Engineer,"aws, c, cloud computing, data science, git, github, large language models, machine learning, neural networks, nlp, python, r, scala, software engineering, transformers","aws, c, cloud computing, data science, git, github, large language models, machine learning, neural ...",4,"Cluster 4 (large language models, scala, c, aws, r)"
Machine Learning Software Engineer L4/L5,"aws, c, c++, cloud computing, java, machine learning, python, pytorch, r, scala, software engineering, spark, tensorflow","aws, c, c++, cloud computing, java, machine learning, python, pytorch, r, scala, software engineerin...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
(General Hire) Machine Learning Engineer Graduate (Advertisement Team) - 2025 Start (BS/MS),"aws, c, c++, deep learning, machine learning, python, r","aws, c, c++, deep learning, machine learning, python, r",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer 2,"c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, spark, tensorflow","c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, sp...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
"Software Engineer, Machine Learning","c, git, java, javascript, machine learning, python, pytorch, r, scala, tensorflow","c, git, java, javascript, machine learning, python, pytorch, r, scala, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"aws, c, data science, machine learning, python, r, scala, sql","aws, c, data science, machine learning, python, r, scala, sql",1,"Cluster 1 (c, r, data science, machine learning, scala)"
"Machine Learning Engineer, Search (multiple levels)","c, machine learning, python, pytorch, r, tensorflow","c, machine learning, python, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer (L5) - Content & Media ML Foundations,"c, computer vision, data science, deep learning, feature engineering, machine learning, python, pytorch, r, scala","c, computer vision, data science, deep learning, feature engineering, machine learning, python, pyto...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"aws, azure, c, machine learning, python, pytorch, r, software engineering, tensorflow","aws, azure, c, machine learning, python, pytorch, r, software engineering, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer 2,"c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, spark, tensorflow","c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, sp...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
Machine Learning Engineer Intern,"aws, c, cloud computing, databases, git, kubernetes, machine learning, r, tensorflow","aws, c, cloud computing, databases, git, kubernetes, machine learning, r, tensorflow",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
"Machine Learning Engineer II, Growth","c, java, machine learning, nlp, python, pytorch, r, scala, spark, tensorflow","c, java, machine learning, nlp, python, pytorch, r, scala, spark, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
"Senior Machine Learning Engineer, NLP","c, computer vision, deep learning, git, machine learning, nlp, python, pytorch, r, tensorflow","c, computer vision, deep learning, git, machine learning, nlp, python, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Data Scientist / ML Engineer,"c, data wrangling, deep learning, git, github, java, javascript, large language models, machine learning, pandas, python, r, scala, spark, tensorflow","c, data wrangling, deep learning, git, github, java, javascript, large language models, machine lear...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
"Software Engineer 5, Data Clean Room","aws, azure, c, gcp, git, python, r, spark, sql","aws, azure, c, gcp, git, python, r, spark, sql",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"c, machine learning, python, pytorch, r, tensorflow","c, machine learning, python, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
AI / Machine Learning Engineer,"c, c++, computer vision, data science, databases, docker, git, github, java, linux, machine learning, mongodb, numpy, pandas, python, pytorch, r, sql, tensorflow","c, c++, computer vision, data science, databases, docker, git, github, java, linux, machine learning...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
"Machine Learning Engineer, Generative AI","aws, c, computer vision, git, machine learning, python, pytorch, r, scala, transformers","aws, c, computer vision, git, machine learning, python, pytorch, r, scala, transformers",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer Intern,"c, data science, feature engineering, machine learning, numpy, pandas, python, pytorch, r, spark, sql, tensorflow","c, data science, feature engineering, machine learning, numpy, pandas, python, pytorch, r, spark, sq...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
Machine Learning Engineer I - Data & Insights,"aws, c, java, machine learning, python, pytorch, r, scala, tensorflow","aws, c, java, machine learning, python, pytorch, r, scala, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer 2,"c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, spark, tensorflow","c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, sp...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
"Machine Learning Engineer, Generative AI","aws, c, c++, deep learning, diffusion models, git, machine learning, python, pytorch, r, tensorflow","aws, c, c++, deep learning, diffusion models, git, machine learning, python, pytorch, r, tensorflow",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
"Software Engineer, Machine Learning","c, git, java, javascript, machine learning, python, pytorch, r, scala, tensorflow","c, git, java, javascript, machine learning, python, pytorch, r, scala, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer Intern (Summer 2025),"aws, azure, c, c++, computer vision, data science, gcp, linux, machine learning, python, pytorch, r, scala, statistical modeling, tensorflow","aws, azure, c, c++, computer vision, data science, gcp, linux, machine learning, python, pytorch, r,...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer Graduate (ML Engineer - Data-Search -TikTok.US - San Jose) - 2025 Start (BS/MS),"aws, c, machine learning, nlp, r","aws, c, machine learning, nlp, r",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
Machine Learning Engineer,"aws, c, html, large language models, machine learning, python, r, scala","aws, c, html, large language models, machine learning, python, r, scala",4,"Cluster 4 (large language models, scala, c, aws, r)"
"Intern, Machine Learning Engineer - VLMs","c, computer vision, deep learning, machine learning, neural networks, python, pytorch, r, tensorflow, vision language models","c, computer vision, deep learning, machine learning, neural networks, python, pytorch, r, tensorflow...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer III,"aws, c, data science, deep learning, git, machine learning, nlp, python, pytorch, r, software engineering, tensorflow","aws, c, data science, deep learning, git, machine learning, nlp, python, pytorch, r, software engine...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
"Software Engineer Co-op, AI/ML","c, data science, git, machine learning, numpy, pytorch, r, software engineering, tensorflow","c, data science, git, machine learning, numpy, pytorch, r, software engineering, tensorflow",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
Machine Learning Engineer,"c, computer vision, deep learning, git, github, large language models, machine learning, nlp, python, pytorch, r, scala, tensorflow","c, computer vision, deep learning, git, github, large language models, machine learning, nlp, python...",4,"Cluster 4 (large language models, scala, c, aws, r)"
"Software Engineer L4/L5, Training Platform, Machine Learning Platform","aws, c, cloud computing, databricks, deep learning, machine learning, r, scala","aws, c, cloud computing, databricks, deep learning, machine learning, r, scala",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
2025 AI/ML Intern - Machine Learning Engineer,"aws, c, computer vision, git, machine learning, python, pytorch, r, scala","aws, c, computer vision, git, machine learning, python, pytorch, r, scala",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"aws, c, deep learning, gcp, machine learning, python, pytorch, r, tensorflow","aws, c, deep learning, gcp, machine learning, python, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
AI/Machine Learning Engineer,"aws, c, nlp, pandas, python, pytorch, r, sql","aws, c, nlp, pandas, python, pytorch, r, sql",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
Data Scientist - All Levels,"aws, azure, c, data analytics, data science, databases, deep learning, hadoop, java, linux, machine learning, mongodb, python, pytorch, r, rest api, spark, sql, tableau, tensorflow","aws, azure, c, data analytics, data science, databases, deep learning, hadoop, java, linux, machine ...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Data Scientist - All Levels,"aws, azure, c, data analytics, data science, databases, deep learning, hadoop, java, linux, machine learning, mongodb, python, pytorch, r, rest api, spark, sql, tableau, tensorflow","aws, azure, c, data analytics, data science, databases, deep learning, hadoop, java, linux, machine ...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"c, feature engineering, machine learning, neural networks, python, pytorch, r, tensorflow","c, feature engineering, machine learning, neural networks, python, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch, r, sql","aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch,...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Junior Machine Learning Engineer,"aws, c, computer vision, databricks, deep learning, docker, git, machine learning, nlp, pandas, python, pytorch, r, scala, software engineering, spark, sql, tensorflow, transformers, web development","aws, c, computer vision, databricks, deep learning, docker, git, machine learning, nlp, pandas, pyth...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch, r, sql","aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch,...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
AI Machine Learning Engineer PhD (Intern) United States,"aws, c, data science, databases, deep learning, git, hadoop, java, large language models, machine learning, numpy, pandas, pytorch, r, scala, spark, tensorflow, transformers","aws, c, data science, databases, deep learning, git, hadoop, java, large language models, machine le...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
"Machine Learning Engineer, Ads Targeting","c, deep learning, machine learning, pytorch, r, tensorflow, transformers","c, deep learning, machine learning, pytorch, r, tensorflow, transformers",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Software Engineer Intern- AI/ML & Kubernetes,"c, data science, java, kubernetes, large language models, machine learning, mongodb, r, sql","c, data science, java, kubernetes, large language models, machine learning, mongodb, r, sql",4,"Cluster 4 (large language models, scala, c, aws, r)"
Machine Learning Engineer Graduate (Data-Search - TikTok Recommendation - San Jose) - 2025 Start (BS/MS),"aws, c, machine learning, nlp, r","aws, c, machine learning, nlp, r",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
Machine Learning Engineer 2,"c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, spark, tensorflow","c, data science, data wrangling, feature engineering, machine learning, numpy, pandas, python, r, sp...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
Machine Learning Engineer,"c, c++, git, java, javascript, machine learning, python, pytorch, r, scala, software engineering, tensorflow","c, c++, git, java, javascript, machine learning, python, pytorch, r, scala, software engineering, te...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer,"c, data science, databases, git, machine learning, r, scala","c, data science, databases, git, machine learning, r, scala",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Engineer Graduate (Data-Search - TikTok US - Seattle) - 2025 Start (BS/MS),"aws, c, machine learning, nlp, r","aws, c, machine learning, nlp, r",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
"Machine Learning Engineer, AI (FULLY REMOTE, USA)","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Model Engineer,"aws, c, databases, git, machine learning, python, pytorch, r, scala, software engineering, spark, sql, tensorflow","aws, c, databases, git, machine learning, python, pytorch, r, scala, software engineering, spark, sq...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
AI/ML Data Scientist,"azure, c, data visualization, databases, git, github, html, java, javascript, machine learning, matlab, numpy, pandas, python, pytorch, r, sql, tensorflow","azure, c, data visualization, databases, git, github, html, java, javascript, machine learning, matl...",0,"Cluster 0 (pandas, numpy, tensorflow, pytorch, machine learning)"
"Machine Learning, Software Engineer (Remote)","aws, azure, c, databases, gcp, machine learning, nlp, python, pytorch, r, scala, tensorflow","aws, azure, c, databases, gcp, machine learning, nlp, python, pytorch, r, scala, tensorflow",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, azure, c, data science, docker, feature engineering, gcp, git, kubernetes, machine learning, nlp, python, pytorch, r, scala, software engineering, spark, tensorflow","aws, azure, c, data science, docker, feature engineering, gcp, git, kubernetes, machine learning, nl...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch, r, sql","aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch,...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
AI/ML Software Engineer,"aws, azure, c, databases, feature engineering, gcp, git, hadoop, java, machine learning, python, r, scala, software engineering, spark, sql","aws, azure, c, databases, feature engineering, gcp, git, hadoop, java, machine learning, python, r, ...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
"Machine Learning Engineer, AI (FULLY REMOTE, USA)","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, azure, c, c++, data analytics, data science, databases, databricks, deep learning, docker, gcp, git, java, javascript, linux, machine learning, mongodb, python, r, scala, spark, sql","aws, azure, c, c++, data analytics, data science, databases, databricks, deep learning, docker, gcp,...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"c, c++, deep learning, machine learning, python, r","c, c++, deep learning, machine learning, python, r",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Data Scientist / ML Engineer,"aws, azure, c, computer vision, deep learning, git, machine learning, python, r, scala","aws, azure, c, computer vision, deep learning, git, machine learning, python, r, scala",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer - AI Agent,"c, kubernetes, large language models, machine learning, nlp, python, r, scala","c, kubernetes, large language models, machine learning, nlp, python, r, scala",4,"Cluster 4 (large language models, scala, c, aws, r)"
"Machine Learning Engineer, AI (FULLY REMOTE, USA)","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch, r, sql","aws, azure, c, gcp, java, javascript, kubernetes, machine learning, mongodb, mysql, python, pytorch,...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"c, computer vision, large language models, machine learning, r, vision language models","c, computer vision, large language models, machine learning, r, vision language models",4,"Cluster 4 (large language models, scala, c, aws, r)"
Machine Learning Engineer,"c, canva, deep learning, diffusion models, docker, kubernetes, machine learning, pytorch, r, tensorflow","c, canva, deep learning, diffusion models, docker, kubernetes, machine learning, pytorch, r, tensorf...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"c, data science, kubernetes, machine learning, python, pytorch, r, scala, software engineering, spark, sql, tensorflow","c, data science, kubernetes, machine learning, python, pytorch, r, scala, software engineering, spar...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"c, c++, git, java, javascript, machine learning, python, pytorch, r, scala, software engineering, tensorflow","c, c++, git, java, javascript, machine learning, python, pytorch, r, scala, software engineering, te...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
"Software Engineer, Machine Learning","c, git, java, javascript, machine learning, python, pytorch, r, scala, tensorflow","c, git, java, javascript, machine learning, python, pytorch, r, scala, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
"Software Engineer, Machine Learning/Computer Vision","c, c++, computer vision, deep learning, machine learning, python, r","c, c++, computer vision, deep learning, machine learning, python, r",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer,"aws, azure, c, databases, docker, gcp, kubernetes, machine learning, python, r, scala, sql","aws, azure, c, databases, docker, gcp, kubernetes, machine learning, python, r, scala, sql",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
"Software Engineer, AI Retrieval","aws, c, large language models, r","aws, c, large language models, r",4,"Cluster 4 (large language models, scala, c, aws, r)"
Machine Learning Engineer,"aws, azure, c, cloud computing, diffusion models, docker, machine learning, python, r, scala","aws, azure, c, cloud computing, diffusion models, docker, machine learning, python, r, scala",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, c, deep learning, feature engineering, machine learning, node.js, python, pytorch, r, scala, statistical modeling, typescript","aws, c, deep learning, feature engineering, machine learning, node.js, python, pytorch, r, scala, st...",1,"Cluster 1 (c, r, data science, machine learning, scala)"
"Machine Learning Engineer, AI (FULLY REMOTE, USA)","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
"Machine Learning Engineer, AI (FULLY REMOTE, USA)","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r","aws, azure, c, docker, gcp, git, kubernetes, machine learning, r",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
"Software Engineer, Machine Learning","c, c++, java, machine learning, python, r","c, c++, java, machine learning, python, r",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer Intern (search-TikTok.US)- 2025 Summer (BS/MS),"aws, c, c++, deep learning, java, machine learning, nlp, python, r, software engineering","aws, c, c++, deep learning, java, machine learning, nlp, python, r, software engineering",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
"Intern, Machine Learning Engineer - PEFT","c, computer vision, deep learning, machine learning, python, pytorch, r, transformers","c, computer vision, deep learning, machine learning, python, pytorch, r, transformers",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer,"c, deep learning, machine learning, neural networks, nlp, pytorch, r, tensorflow","c, deep learning, machine learning, neural networks, nlp, pytorch, r, tensorflow",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Intern - Machine Learning Engineer,"aws, azure, c, deep learning, docker, feature engineering, gcp, kubernetes, large language models, machine learning, python, pytorch, r, spark, tensorflow","aws, azure, c, deep learning, docker, feature engineering, gcp, kubernetes, large language models, m...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, c, c++, cloud computing, data science, gcp, git, java, machine learning, python, r, scala, software engineering, sql","aws, c, c++, cloud computing, data science, gcp, git, java, machine learning, python, r, scala, soft...",1,"Cluster 1 (c, r, data science, machine learning, scala)"
